cseq,mapX,mapY,useyn
2107,129.0685628,37.1292651,y
2108,127.1025396,37.9735743,y
2109,127.2379395,35.0698606,y
2110,129.142102,36.3938364,y
2111,127.7642655,35.7646898,y
2112,128.0009542,37.7524155,y
2113,128.2084363,37.460647,y
2114,126.4425632,36.5169914,y
2115,127.1093075,37.6049896,y
2116,127.4546124,37.5880186,y
2117,127.5379731,37.8879363,y
2118,127.7491467,35.3041966,y
2119,126.5252458,36.1634585,y
2120,127.9964744,35.8612594,y
2121,128.8005932,37.9228715,y
2122,127.02077,36.5017433,y
2123,126.8350089,37.8848024,y
2124,127.7208856,35.2824202,y
2125,127.5024295,35.1460773,y
2126,127.6612496,35.3929733,y
2127,127.6442642,35.4121408,y
2128,127.6965511,35.4559403,y
2129,127.4514518,35.3308948,y
2130,127.5997797,35.3985666,y
2131,127.4921883,37.6166201,y
2132,126.6811,36.817898,y
2133,128.6566871,37.8400023,y
2134,126.294498,34.4653393,y
2135,127.7705244,37.3435285,y
2136,128.4441716,35.1546507,y
2137,127.3451335,36.1232644,y
2138,127.4611194,35.9654932,y
2139,128.935833,37.012853,y
2140,127.5320818,37.7504085,y
2141,127.1284768,37.737558,y
2142,128.3515125,37.6235904,y
2143,126.6232276,36.9514895,y
2144,128.5705925,35.1111546,y
2145,127.3896367,38.0650584,y
2146,128.4189781,36.9658204,y
2147,128.4187431,36.9744049,y
2148,128.039613,37.0728441,y
2149,129.0588156,35.6409377,y
2150,128.9965764,36.1509808,y
2151,128.886997,35.2751238,y
2152,127.5966175,37.59498,y
2153,127.2754432,36.8204819,y
2154,128.9275253,35.4320914,y
2155,128.0136055,34.724385,y
2156,128.1756466,35.3814083,y
2157,127.2654877,38.2249605,y
2158,127.3989901,38.3012236,y
2159,126.6573705,34.3711164,y
2160,128.2603527,37.3178616,y
2161,128.5740295,38.2408215,y
2162,127.2629603,35.3071016,y
2163,128.3086561,35.1150709,y
2164,127.284532,37.8860365,y
2165,127.314504,35.1600136,y
2166,128.848812,35.6472933,y
2167,128.8071917,35.6135852,y
2168,128.8219075,35.6119455,y
2169,128.7662481,35.587208,y
2170,128.8038677,35.6162297,y
2171,128.9212409,35.7168101,y
2172,128.6304762,36.0300417,y
2173,128.7153318,35.6876454,y
2174,128.7064353,35.6798432,y
2175,128.8865062,36.8334798,y
2176,128.8916461,36.7870825,y
2177,128.2747312,37.3308928,y
2178,127.2536811,36.0130043,y
2179,128.2300669,35.6504808,y
2180,127.2677984,35.4359122,y
2181,126.2800991,36.8178666,y
2182,129.0703874,35.7179541,y
2183,128.2674725,37.3683199,y
2184,127.515463,37.2676913,y
2185,126.7566804,35.9369833,y
2186,126.979775,36.3394,y
2187,128.4852031,37.3674464,y
2188,128.997699,36.947636,y
2189,127.702976,37.5429069,y
2190,128.1580896,37.6409998,y
2191,126.8004143,34.5088142,y
2192,127.5798498,36.6599077,y
2193,127.88496,36.6436068,y
2194,127.781576,36.6713933,y
2195,127.4821699,37.7107695,y
2196,128.1877789,37.010381,y
2197,128.1867546,37.0287008,y
2198,128.4623468,36.3068386,y
2199,126.5271023,36.9955832,y
2200,128.9570731,35.5871833,y
2201,126.9186104,37.3473716,y
2202,127.0568215,37.6277451,y
2203,127.8166349,37.0394174,y
2204,128.0342924,34.7293609,y
2205,127.495401,36.8163803,y
2206,127.1556949,37.9915799,y
2207,129.1589116,37.4769653,y
2208,127.7165956,37.3485926,y
2209,128.8031974,37.7173613,y
